Magma V2.29-6     Fri May 29 2026 13:45:51 on Chatchawans-Laptop-2 [Seed = 
1596719953]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "supplementary/code/verify_theorem_magma.m"
# Exact Magma verification for p<q, p,q == 5 mod 8, pq <= 30000
# Magma version: V2.29-6 in the recorded run
# Proof settings: Magma defaults; this script sets no GRH or conditional class-group flag
# Columns: p,q,D,leg,q4pq,q4qp,h,hplus,v2hplus,epsnorm,isPrincipalP,isPrincipalQ,wideInv,narrowInv,narrowTwoInv
5,5693,28465,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,5701,28505,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,5717,28585,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,5741,28705,1,1,1,4,8,3,1,1,1,"[ 4 ]","[ 8 ]","[ 8 ]"
5,5749,28745,1,1,-1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,5813,29065,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,5821,29105,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,5861,29305,1,1,1,4,8,3,1,1,1,"[ 4 ]","[ 8 ]","[ 8 ]"
5,5869,29345,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
5,5981,29905,1,1,1,12,24,3,1,1,1,"[ 12 ]","[ 24 ]","[ 8 ]"
13,29,377,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
13,37,481,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,53,689,1,1,1,4,8,3,1,1,1,"[ 4 ]","[ 8 ]","[ 8 ]"
13,61,793,1,1,1,4,8,3,1,1,1,"[ 4 ]","[ 8 ]","[ 8 ]"
13,101,1313,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
13,109,1417,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,149,1937,-1,0,0,6,6,1,-1,0,0,"[ 6 ]","[ 6 ]","[ 2 ]"
13,157,2041,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
13,173,2249,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
13,181,2353,1,1,-1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
13,197,2561,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,229,2977,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,269,3497,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
13,277,3601,1,-1,-1,20,20,2,-1,0,0,"[ 20 ]","[ 20 ]","[ 4 ]"
13,293,3809,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,317,4121,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,349,4537,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,373,4849,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
13,389,5057,1,1,-1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
13,397,5161,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,421,5473,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,461,5993,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,509,6617,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,541,7033,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,557,7241,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,613,7969,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,653,8489,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
13,661,8593,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,677,8801,1,1,1,4,8,3,1,1,1,"[ 4 ]","[ 8 ]","[ 8 ]"
13,701,9113,1,1,-1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
13,709,9217,-1,0,0,18,18,1,-1,0,0,"[ 18 ]","[ 18 ]","[ 2 ]"
13,733,9529,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,757,9841,1,1,1,4,8,3,1,1,1,"[ 4 ]","[ 8 ]","[ 8 ]"
13,773,10049,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,797,10361,1,1,-1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
13,821,10673,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,829,10777,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
13,853,11089,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,877,11401,-1,0,0,6,6,1,-1,0,0,"[ 6 ]","[ 6 ]","[ 2 ]"
13,941,12233,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,997,12961,1,1,1,8,8,3,-1,0,0,"[ 8 ]","[ 8 ]","[ 8 ]"
13,1013,13169,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
13,1021,13273,-1,0,0,6,6,1,-1,0,0,"[ 6 ]","[ 6 ]","[ 2 ]"
13,1061,13793,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
13,1069,13897,1,-1,1,6,12,2,1,1,1,"[ 6 ]","[ 12 ]","[ 4 ]"
13,1093,14209,1,1,1,4,8,3,1,1,1,"[ 4 ]","[ 8 ]","[ 8 ]"
